sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23010301M_ITS_P48	23	p01	s03	01M	#440154FF	#240C4FFF	sample	P48	10455
GBP23010302M_ITS_P96	23	p01	s03	02M	#440154FF	#240C4FFF	sample	P96	6470
GBP23010303M_ITS_P96	23	p01	s03	03M	#440154FF	#240C4FFF	sample	P96	11068
GBP23010304M_ITS_P96	23	p01	s03	04M	#440154FF	#240C4FFF	sample	P96	18320
GBP23010305M_ITS_P96	23	p01	s03	05M	#440154FF	#240C4FFF	sample	P96	700
GBP23010501M_ITS_P96	23	p01	s05	01M	#440154FF	#5D126EFF	sample	P96	161394
GBP23010901M_ITS_P96	23	p01	s09	01M	#440154FF	#C73E4CFF	sample	P96	100
GBP23011001M_ITS_P96	23	p01	s10	01M	#440154FF	#DD513AFF	sample	P96	51095
GBP23011101M_ITS_P96	23	p01	s11	01M	#440154FF	#ED6925FF	sample	P96	4548
GBP23011102M_ITS_P96	23	p01	s11	02M	#440154FF	#ED6925FF	sample	P96	10154
GBP23020201M_ITS_P96	23	p02	s02	01M	#414487FF	#0C0826FF	sample	P96	6264
GBP23020202M_ITS_P96	23	p02	s02	02M	#414487FF	#0C0826FF	sample	P96	3757
GBP23020301M_ITS_P96	23	p02	s03	01M	#414487FF	#240C4FFF	sample	P96	20416
GBP23020302M_ITS_P96	23	p02	s03	02M	#414487FF	#240C4FFF	sample	P96	105011
GBP23020303M_ITS_P96	23	p02	s03	03M	#414487FF	#240C4FFF	sample	P96	79775
GBP23020304M_ITS_P96	23	p02	s03	04M	#414487FF	#240C4FFF	sample	P96	7157
GBP23020305M_ITS_P96	23	p02	s03	05M	#414487FF	#240C4FFF	sample	P96	1523
GBP23020401M_ITS_P96	23	p02	s04	01M	#414487FF	#420A68FF	sample	P96	1344
GBP23020402M_ITS_P96	23	p02	s04	02M	#414487FF	#420A68FF	sample	P96	7075
GBP23020403M_ITS_P96	23	p02	s04	03M	#414487FF	#420A68FF	sample	P96	69104
GBP23020404M_ITS_P48	23	p02	s04	04M	#414487FF	#420A68FF	sample	P48	1591
GBP23020501M_ITS_P96	23	p02	s05	01M	#414487FF	#5D126EFF	sample	P96	2231
GBP23020601M_ITS_P96	23	p02	s06	01M	#414487FF	#781C6DFF	sample	P96	28074
GBP23020602M_ITS_P96	23	p02	s06	02M	#414487FF	#781C6DFF	sample	P96	20
GBP23020701M_ITS_P96	23	p02	s07	01M	#414487FF	#932667FF	sample	P96	28009
GBP23020801M_ITS_P96	23	p02	s08	01M	#414487FF	#AE305CFF	sample	P96	28028
GBP23020802M_ITS_P96	23	p02	s08	02M	#414487FF	#AE305CFF	sample	P96	141
GBP23020901M_ITS_P48	23	p02	s09	01M	#414487FF	#C73E4CFF	sample	P48	19893
