Periodo,Transecto,Sitio,Planta,Polinizador,
1,1,1,Helleborus viridis,Bombus terrestris,
1,1,1,Helleborus viridis,Bombus terrestris,
1,1,1,Helleborus viridis,Bombus terrestris,
1,1,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,2,1,Helleborus viridis,Bombus terrestris,
1,3,1,Helleborus viridis,Bombus terrestris,
1,3,1,Helleborus viridis,Bombus terrestris,
1,3,1,Helleborus viridis,Bombus terrestris,
1,2,2,Helleborus viridis,Bombus terrestris,
1,2,2,Helleborus viridis,Bombus terrestris,
1,2,2,Helleborus viridis,Bombus terrestris,
1,2,2,Taraxacum sp.,Diptera sp.,
1,2,2,Bellis perennis,Diptera sp.,
1,3,2,Helleborus viridis,Bombus terrestris,
1,3,2,Helleborus viridis,Bombus terrestris,
1,3,2,Helleborus viridis,Bombus terrestris,
1,3,2,Helleborus viridis,Bombus terrestris,
1,1,3,Lathyrus linifolius,Bombus pascuorum,
1,2,3,Lathyrus linifolius,Bombus pascuorum,
1,2,3,Lathyrus linifolius,Bombus sp.,
1,2,3,Taraxacum sp.,Lasioglossum sp. cf.,
1,2,3,Taraxacum sp.,Andrena sp.,
1,2,3,Lathyrus linifolius,Bombus pascuorum,
1,2,3,Taraxacum sp.,Anthophila sp.,
1,3,3,Lathyrus linifolius,Bombus pascuorum,
1,3,3,Lathyrus linifolius,bombus pascuorum,
1,3,3,Viola riviniana,Bombylius sp.,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Apis melifera,
1,1,4,Crataegus monogyna,Diptera sp.,
1,1,4,Lathyrus linifolius,Bombus hortorum,
1,1,4,Crataegus monogyna,Eristalis tenax,
1,2,4,Lathyrus linifolius,bombus pascuorum,
1,2,4,Lathyrus linifolius,bombus pascuorum,
1,2,4,Lathyrus linifolius,bombus pascuorum,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Diptera sp.,
1,2,4,Crataegus monogyna,Diptera sp.,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Apis melifera,
1,2,4,Crataegus monogyna,Lasioglossum sp.,
1,2,4,Crataegus monogyna,Lasioglossum sp.,
1,2,4,Lathyrus linifolius,Bombus pascuorum,
1,2,4,Lathyrus linifolius,Bombus pascuorum,
1,2,4,Lathyrus linifolius,Bombus pascuorum,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Apis melifera,
1,3,4,Crataegus monogyna,Diptera sp.,
1,3,4,Crataegus monogyna,Diptera sp.,
1,3,4,Lathyrus linifolius,Bombus pascuorum,
1,3,4,Lathyrus linifolius,Bombus pascuorum,
1,1,5,Taraxacum sp.,Lasioglossum sp.,
1,1,5,Taraxacum sp.,Lasioglossum sp.,
1,2,5,Taraxacum sp.,Apoidea sp.,
1,2,5,Taraxacum sp.,Apoidea sp.,
1,2,5,Taraxacum sp.,Formicidae sp.,
1,2,5,Taraxacum sp.,Lasioglossum sp.,
1,3,5,Taraxacum sp.,Formicidae sp.,
1,3,5,Taraxacum sp.,Formicidae sp.,
1,2,6,Scilla verna,Lasioglossum sp.,
1,2,6,Scilla verna,Lasioglossum sp.,
1,3,6,Anemone nemorosa,Diptera sp.,
1,1,7,Anemone nemorosa,Diptera sp.,
1,2,7,Taraxacum sp.,Lasioglossum sp.,
1,2,7,Taraxacum sp.,Andrena sp.,
