"Genus","Count"
"g__Lotus",355
"g__Veronica",102
"g__Trifolium",80
"g__Vicia",79
"g__Linaria",50
"g__Viola",50
"g__Cirsium",49
"g__Stachys",47
"g__Erica",33
"g__Lathyrus",33
"g__Glandora",28
"g__Pedicularis",26
"g__Ulex",24
"g__Leptospermum",21
"g__Taraxacum",21
"g__Plantago",20
"g__Rubus",19
"g__Echium",17
"g__Myosotis",17
"g__Ranunculus",17
"g__Vaccinium",17
"g__Lathraea",16
"g__Anthyllis",15
"g__Daboecia",15
"g__Carduus",14
"g__Hispidella",14
"g__Anemone",12
"g__Helleborus",10
"g__Quercus",10
"g__Alternaria",9
"g__Bellis",9
"g__Pulmonaria",9
"g__Gaylussacia",8
"g__Trebouxia",8
"g__Curvularia",7
"g__Fagus",7
"g__Geranium",7
"g__Leontodon",7
"g__Pinus",7
"g__Aciphylla",6
"g__Digitalis",6
"g__Hypochaeris",6
"g__Mucor",6
"g__Penicillium",6
"g__Symphytum",6
"g__Erucastrum",5
"g__Erysimum",5
"g__Holcus",5
"g__Potentilla",5
"g__Prunus",5
