Interaction transects,Gut content metabarcoding,Pollen metabarcoding,Flower count
Anemone,Abelmoschus,Aconitum,Achillea
Arabis,Achillea,Aegilops,Ajuga
Bellis,Aconitum,Agrostis,Alchemilla
Cirsium,Actinidia,Ajuga,Anagallis
Daboecia,Aegilops,Allium,Anemone
Digitalis,Aegonychon,Alopecurus,Anthyllis
Erica,Agrostis,Anagallis,Apiaceae
Eryngium,Ajuga,Anthyllis,Arabis
Geranium,Allium,Arabidopsis,Arenaria
Helleborus,Alnus,Arenaria,Asteraceae
Jasione,Anagallis,Atriplex,Bellis
Lamium,Anemone,Bellis,Betonica
Lathyrus,Anthoxanthum,Betula,Biscutella
Linaria,Anthyllis,Bromus,Brassicaceae
Lotus,Arabis,Bupleurum,Calluna
Pedicularis,Arenaria,Calamagrostis,Caltha
Potentilla,Arrhenatherum,Calluna,Campanula
Prunella,Bellis,Campanula,Capsella
Ranunculus,Betula,Capsella,Cardamine
Rubus,Brachypodium,Capsicum,Carduncellus
Scrophularia,Brassica,Carduus,Cerastium
Teucrium,Caltha,Castanea,Chamaemelum
Thymus,Campanula,Cerastium,Cirsium
Trifolium,Cardamine,Chaerophyllum,Clinopodium
Vaccinium,Carduus,Chaetopogon,Colchicum
Vicia,Carex,Chamaemelum,Convallaria
Viola,Castanea,Chenopodium,Crataegus
,Chaerophyllum,Cirsium,Cruciata
,Chrysosplenium,Citrullus,Daboecia
,Cirsium,Clematis,Dianthus
,Citrus,Clinopodium,Digitalis
,Clematis,Coriandrum,Endressia
,Clinopodium,Crataegus,Epilobium
,Colocasia,Crepis,Erica
,Conium,Daboecia,Erinus
,Crataegus,Descurainia,Erodium
,Crepis,Dianthus,Eryngium
,Cucumis,Digitalis,Erysimum
,Daboecia,Echium,Erythronium
,Dactylis,Erica,Estrellita
,Digitalis,Eryngium,Euphorbia
,Echium,Erysimum,Euphrasia
,Erica,Euphrasia,Fragaria
,Erinus,Fagus,Galium
,Erodium,Festuca,Genista
,Erucastrum,Galium,Geranium
,Eryngium,Gentiana,Globularia
,Erysimum,Geranium,Helianthemum
,Erythronium,Glandora,Helichrysum
,Eucalyptus,Glechoma,Helleborus
,Fagus,Globularia,Hepatica
,Festuca,Helianthemum,Heracleum
,Galium,Helictochloa,Herniaria
,Genista,Helleborus,Hippocrepis
,Gentiana,Hippocrepis,Hornungia
,Geranium,Holcus,Hutchinsia
,Glandora,Hordeum,Hypericum
,Glechoma,Hypericum,Hypochaeris
,Globularia,Hypochaeris,Jacobaea
,Helianthemum,Knautia,Jasione
,Helleborus,Lamium,Lamium
,Herniaria,Lathraea,Lathyrus
,Hieracium,Lathyrus,Leucanthemum
,Hippocrepis,Leontodon,Linaria
,Holcus,Leucanthemum,Linum
,Hypericum,Libanotis,Lotus
,Hypochaeris,Linaria,Lysimachia
,Iberis,Lolium,Malva
,Ilex,Lotus,Meconopsis
,Jasione,Minuartia,Medicago
,Juglans,Miscanthus,Myosotis
,Lamium,Myosotis,Narcissus
,Lathraea,Narcissus,Narthecium
,Lathyrus,Pedicularis,Ophrys
,Leontodon,Photinia,Orchidaceae
,Leucanthemum,Pilosella,Origanum
,Linaria,Plantago,Oxalis
,Linum,Platanus,Pedicularis
,Lithodora,Poa,Pilosella
,Lolium,Polygala,Pinguicula
,Lotus,Polygonum,Plantago
,Melampyrum,Populus,Polygala
,Myosotis,Potentilla,Potentilla
,Narcissus,Primula,Primula
,Oxalis,Prunella,Prunella
,Parietaria,Prunus,Prunus
,Pedicularis,Pulmonaria,Ranunculus
,Pilosella,Quercus,Rhinanthus
,Pinguicula,Ranunculus,Rosa
,Plantago,Rhinanthus,Rubus
,Platanus,Rorippa,Rumex
,Pleuropterus,Rosa,Sanguisorba
,Poa,Rubus,Satureja
,Polygala,Rumex,Saxifraga
,Potentilla,Salix,Scabiosa
,Primula,Sambucus,Scilla
,Pritzelago,Saxifraga,Scleranthus
,Prunella,Scabiosa,Scorzonera
,Prunus,Scrophularia,Scrophularia
,Pulmonaria,Sesleria,Sedum
,Pyrus,Setaria,Seseli
,Quercus,Sideritis,Sherardia
,Ranunculus,Sisymbrium,Sideritis
,Raphanus,Solanum,Silene
,Rhinanthus,Stellaria,Sisymbrium
,Robinia,Stipa,Stellaria
,Rosa,Symphytum,Taraxacum
,Rubus,Tanacetum,Teucrium
,Salix,Taraxacum,Thesium
,Sambucus,Teucrium,Thymus
,Scrophularia,Thymus,Trifolium
,Sedum,Tilia,Ulex
,Sideritis,Trifolium,Vaccinium
,Silybum,Triglochin,Veronica
,Sisymbrium,Ulex,Vicia
,Solanum,Ulmus,Viola
,Stellaria,Urtica,Wahlenbergia
,Symphytum,Vaccinium,
,Taraxacum,Veronica,
,Teucrium,Vicia,
,Thymus,Viola,
,Tornabenea,Vitis,
,Tragopogon,Ziziphora,
,Trifolium,,
,Tripleurospermum,,
,Ulex,,
,Urtica,,
,Vaccinium,,
,Veronica,,
,Vicia,,
,Viola,,
