sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
PBLANKP0101I_ITS	NA	pNA	sNA	NA1	red	red	negative	ITS	116
Y23010501PI_ITS	NA	pNA	sNA	NA2	red	red	negative	ITS	96278
Y23020402PI_ITS	NA	pNA	sNA	NA3	red	red	negative	ITS	94487
Y23030102PI_ITS	NA	pNA	sNA	NA4	red	red	negative	ITS	97030
Y23031301PI_ITS	NA	pNA	sNA	NA5	red	red	negative	ITS	86133
Y23031403PI_ITS	NA	pNA	sNA	NA6	red	red	negative	ITS	99747
Y23040403PI_ITS	NA	pNA	sNA	NA7	red	red	negative	ITS	98785
Y23041401PI_ITS	NA	pNA	sNA	NA8	red	red	negative	ITS	93181
Y23041402PI_ITS	NA	pNA	sNA	NA9	red	red	negative	ITS	95040
Y23050301PI_ITS	NA	pNA	sNA	NA10	red	red	negative	ITS	98385
Y23050403PI_ITS	NA	pNA	sNA	NA11	red	red	negative	ITS	79244
Y23050701PI_ITS	NA	pNA	sNA	NA12	red	red	negative	ITS	97417
Y23050702PI_ITS	NA	pNA	sNA	NA13	red	red	negative	ITS	109006
Y23060101PI_ITS	NA	pNA	sNA	NA14	red	red	negative	ITS	95295
Y23060102PI_ITS	NA	pNA	sNA	NA15	red	red	negative	ITS	52997
Y23060103PI_ITS	NA	pNA	sNA	NA16	red	red	negative	ITS	96355
Y23060104PI_ITS	NA	pNA	sNA	NA17	red	red	negative	ITS	97421
Y23060204PI_ITS	NA	pNA	sNA	NA18	red	red	negative	ITS	95704
Y23060301PI_ITS	NA	pNA	sNA	NA19	red	red	negative	ITS	106015
Y23060302PI_ITS	NA	pNA	sNA	NA20	red	red	negative	ITS	10281
Y23060303PI_ITS	NA	pNA	sNA	NA21	red	red	negative	ITS	93719
Y23060404PI_ITS	NA	pNA	sNA	NA22	red	red	negative	ITS	97263
Y23061001PI_ITS	NA	pNA	sNA	NA23	red	red	negative	ITS	98213
Y23061401PI_ITS	NA	pNA	sNA	NA24	red	red	negative	ITS	108473
Y23061402PI_ITS	NA	pNA	sNA	NA25	red	red	negative	ITS	93270
Y23061405PI_ITS	NA	pNA	sNA	NA26	red	red	negative	ITS	98989
Y24010310PI_ITS	NA	pNA	sNA	NA27	red	red	negative	ITS	97273
Y24020304PI_ITS	NA	pNA	sNA	NA28	red	red	negative	ITS	3168
Y24021104PI_ITS	NA	pNA	sNA	NA29	red	red	negative	ITS	98176
Y24030205PI_ITS	NA	pNA	sNA	NA30	red	red	negative	ITS	66520
Y24031303PI_ITS	NA	pNA	sNA	NA31	red	red	negative	ITS	93123
Y24031601PI_ITS	NA	pNA	sNA	NA32	red	red	negative	ITS	151401
Y24031606PI_ITS	NA	pNA	sNA	NA33	red	red	negative	ITS	132519
Y24040303PI_ITS	NA	pNA	sNA	NA34	red	red	negative	ITS	95644
Y24041102PI_ITS	NA	pNA	sNA	NA35	red	red	negative	ITS	96930
Y24041303PI_ITS	NA	pNA	sNA	NA36	red	red	negative	ITS	96079
Y24041308PI_ITS	NA	pNA	sNA	NA37	red	red	negative	ITS	48841
Y24041407PI_ITS	NA	pNA	sNA	NA38	red	red	negative	ITS	52381
Y24041409PI_ITS	NA	pNA	sNA	NA39	red	red	negative	ITS	91692
Y24050104PI_ITS	NA	pNA	sNA	NA40	red	red	negative	ITS	91928
Y24050106PI_ITS	NA	pNA	sNA	NA41	red	red	negative	ITS	99120
Y24051002PI_ITS	NA	pNA	sNA	NA42	red	red	negative	ITS	59202
Y24051003PI_ITS	NA	pNA	sNA	NA43	red	red	negative	ITS	95887
Y24051004PI_ITS	NA	pNA	sNA	NA44	red	red	negative	ITS	94282
Y24051102PI_ITS	NA	pNA	sNA	NA45	red	red	negative	ITS	95880
Y24051301PI_ITS	NA	pNA	sNA	NA46	red	red	negative	ITS	100207
Y24051307PI_ITS	NA	pNA	sNA	NA47	red	red	negative	ITS	97088
Y24051404PI_ITS	NA	pNA	sNA	NA48	red	red	negative	ITS	48937
Y24051407PI_ITS	NA	pNA	sNA	NA49	red	red	negative	ITS	91226
Y24051502PI_ITS	NA	pNA	sNA	NA50	red	red	negative	ITS	94658
Y24051503PI_ITS	NA	pNA	sNA	NA51	red	red	negative	ITS	98175
Y24051506PI_ITS	NA	pNA	sNA	NA52	red	red	negative	ITS	96043
Y24051601PI_ITS	NA	pNA	sNA	NA53	red	red	negative	ITS	96928
Y24051602PI_ITS	NA	pNA	sNA	NA54	red	red	negative	ITS	95221
Y24051603PI_ITS	NA	pNA	sNA	NA55	red	red	negative	ITS	64538
Y24051607PI_ITS	NA	pNA	sNA	NA56	red	red	negative	ITS	98024
Y24051608PI_ITS	NA	pNA	sNA	NA57	red	red	negative	ITS	55436
