sample	input	filtered	denoised	merged	tabled	diff1	diff2	diff3	diff4	diff.total
PBLANKP0101I_ITS	123	116	116	116	116	0.94	1	1	1	0.94
Y23010501PI_ITS	102889	97327	97148	96278	96278	0.95	1	0.99	1	0.94
Y23020402PI_ITS	103845	96918	96567	94487	94487	0.93	1	0.98	1	0.91
Y23030102PI_ITS	104747	99116	98863	97030	97030	0.95	1	0.98	1	0.93
Y23031301PI_ITS	92576	87580	86998	86133	86133	0.95	0.99	0.99	1	0.93
Y23031403PI_ITS	107970	101382	101209	99747	99747	0.94	1	0.99	1	0.92
Y23040403PI_ITS	105677	99655	99317	98785	98785	0.94	1	0.99	1	0.93
Y23041401PI_ITS	103019	95854	95428	93181	93181	0.93	1	0.98	1	0.9
Y23041402PI_ITS	102041	97370	97184	95040	95040	0.95	1	0.98	1	0.93
Y23050301PI_ITS	106463	100893	100459	98385	98385	0.95	1	0.98	1	0.92
Y23050403PI_ITS	84807	80674	80339	79244	79244	0.95	1	0.99	1	0.93
Y23050701PI_ITS	104457	99500	99079	97417	97417	0.95	1	0.98	1	0.93
Y23050702PI_ITS	116863	111084	110823	109006	109006	0.95	1	0.98	1	0.93
Y23060101PI_ITS	103101	97698	97471	95295	95295	0.95	1	0.98	1	0.92
Y23060102PI_ITS	57960	55312	55074	52997	52997	0.95	1	0.96	1	0.91
Y23060103PI_ITS	103723	98381	98064	96355	96355	0.95	1	0.98	1	0.93
Y23060104PI_ITS	103800	99107	98912	97421	97421	0.95	1	0.98	1	0.94
Y23060204PI_ITS	103973	97089	96801	95704	95704	0.93	1	0.99	1	0.92
Y23060301PI_ITS	145631	109922	109526	106015	106015	0.75	1	0.97	1	0.73
Y23060302PI_ITS	12520	11284	11150	10281	10281	0.9	0.99	0.92	1	0.82
Y23060303PI_ITS	103243	95285	95092	93719	93719	0.92	1	0.99	1	0.91
Y23060404PI_ITS	104513	98606	98414	97263	97263	0.94	1	0.99	1	0.93
Y23061001PI_ITS	106187	100468	100271	98213	98213	0.95	1	0.98	1	0.92
Y23061401PI_ITS	117059	111307	111047	108473	108473	0.95	1	0.98	1	0.93
Y23061402PI_ITS	103516	95450	95167	93270	93270	0.92	1	0.98	1	0.9
Y23061405PI_ITS	106345	101170	100929	98989	98989	0.95	1	0.98	1	0.93
Y24010310PI_ITS	105074	99504	99042	97273	97273	0.95	1	0.98	1	0.93
Y24020304PI_ITS	4028	3711	3626	3168	3168	0.92	0.98	0.87	1	0.79
Y24021104PI_ITS	104561	98604	98504	98176	98176	0.94	1	1	1	0.94
Y24030205PI_ITS	73695	68440	68370	66520	66520	0.93	1	0.97	1	0.9
Y24031303PI_ITS	102091	96509	96128	93123	93123	0.95	1	0.97	1	0.91
Y24031601PI_ITS	163987	155106	154719	151401	151401	0.95	1	0.98	1	0.92
Y24031606PI_ITS	142521	135161	134776	132519	132519	0.95	1	0.98	1	0.93
Y24040303PI_ITS	103885	98286	97874	95644	95644	0.95	1	0.98	1	0.92
Y24041102PI_ITS	104072	98532	98186	96930	96930	0.95	1	0.99	1	0.93
Y24041303PI_ITS	102502	97251	97079	96079	96079	0.95	1	0.99	1	0.94
Y24041308PI_ITS	53415	49658	49519	48841	48841	0.93	1	0.99	1	0.91
Y24041407PI_ITS	56130	53580	53278	52381	52381	0.95	0.99	0.98	1	0.93
Y24041409PI_ITS	98601	93929	93701	91692	91692	0.95	1	0.98	1	0.93
Y24050104PI_ITS	98646	94043	93754	91928	91928	0.95	1	0.98	1	0.93
Y24050106PI_ITS	106681	101505	101231	99120	99120	0.95	1	0.98	1	0.93
Y24051002PI_ITS	64410	60518	60404	59202	59202	0.94	1	0.98	1	0.92
Y24051003PI_ITS	104460	99530	99102	95887	95887	0.95	1	0.97	1	0.92
Y24051004PI_ITS	102249	95299	95099	94282	94282	0.93	1	0.99	1	0.92
Y24051102PI_ITS	106449	98307	98102	95880	95880	0.92	1	0.98	1	0.9
Y24051301PI_ITS	107299	101869	101763	100207	100207	0.95	1	0.98	1	0.93
Y24051307PI_ITS	104617	99001	98525	97088	97088	0.95	1	0.99	1	0.93
Y24051404PI_ITS	52762	50170	50031	48937	48937	0.95	1	0.98	1	0.93
Y24051407PI_ITS	98635	93143	92875	91226	91226	0.94	1	0.98	1	0.92
Y24051502PI_ITS	102971	96522	96318	94658	94658	0.94	1	0.98	1	0.92
Y24051503PI_ITS	106596	98936	98885	98175	98175	0.93	1	0.99	1	0.92
Y24051506PI_ITS	104945	98105	97870	96043	96043	0.93	1	0.98	1	0.92
Y24051601PI_ITS	104288	99420	99095	96928	96928	0.95	1	0.98	1	0.93
Y24051602PI_ITS	105519	97531	97244	95221	95221	0.92	1	0.98	1	0.9
Y24051603PI_ITS	70941	66279	66054	64538	64538	0.93	1	0.98	1	0.91
Y24051607PI_ITS	105223	100349	100053	98024	98024	0.95	1	0.98	1	0.93
Y24051608PI_ITS	59876	57047	56773	55436	55436	0.95	1	0.98	1	0.93
