sample	reads
GBP23010301M_ITS_P48	10778
GBP23010302M_ITS_P96	6778
GBP23010303M_ITS_P96	11449
GBP23010304M_ITS_P96	19018
GBP23010305M_ITS_P96	772
GBP23010501M_ITS_P96	172025
GBP23010901M_ITS_P96	136
GBP23011001M_ITS_P96	53963
GBP23011101M_ITS_P96	4911
GBP23011102M_ITS_P96	10840
GBP23020201M_ITS_P96	7084
GBP23020202M_ITS_P96	4421
GBP23020301M_ITS_P96	21388
GBP23020302M_ITS_P96	111224
GBP23020303M_ITS_P96	87955
GBP23020304M_ITS_P96	7550
GBP23020305M_ITS_P96	1660
GBP23020401M_ITS_P96	1446
GBP23020402M_ITS_P96	8060
GBP23020403M_ITS_P96	73585
GBP23020404M_ITS_P48	1815
GBP23020501M_ITS_P96	2572
GBP23020601M_ITS_P96	31394
GBP23020602M_ITS_P96	31
GBP23020701M_ITS_P96	30132
GBP23020801M_ITS_P96	24773
GBP23020802M_ITS_P96	155
GBP23020901M_ITS_P48	21390
GBP23020902M_ITS_P96	3937
GBP23020903M_ITS_P96	38990
GBP23021101M_ITS_P96	7509
GBP23021102M_ITS_P48	61042
GBP23021103M_ITS_P96	987
GBP23021104M_ITS_P96	1905
GBP23021105M_ITS_P96	61015
GBP23021401M_ITS_P96	3031
GBP23021402M_ITS_P96	7663
GBP23021501M_ITS_P96	1020
GBP23021602M_ITS_P96	18
GBP23021603M_ITS_P96	119491
GBP23021604M_ITS_P96	37969
GBP23021605M_ITS_P96	0
GBP23030101M_ITS_P96	129990
GBP23030102M_ITS_P96	475
GBP23030201M_ITS_P96	18396
GBP23030501M_ITS_P96	64158
GBP23031301M_ITS_P96	4378
GBP23031401M_ITS_P96	828
GBP23031402M_ITS_P96	40465
GBP23031403M_ITS_P48	8518
GBP23031404M_ITS_P96	2856
GBP23031405M_ITS_P48	4043
GBP23031601M_ITS_P96	1051
GBP23040101M_ITS_P96	347
GBP23040201M_ITS_P96	12173
GBP23040202M_ITS_P96	0
GBP23040203M_ITS_P96	128800
GBP23040301M_ITS_P96	11478
GBP23040401M_ITS_P96	1694
GBP23040402M_ITS_P48	769
GBP23040403M_ITS_P48	101
GBP23040701M_ITS_P96	12699
GBP23040702M_ITS_P48	8512
GBP23041101M_ITS_P48	104606
GBP23041102M_ITS_P48	0
GBP23041103M_ITS_P96	1945
GBP23041104M_ITS_P48	11944
GBP23041105M_ITS_P96	507
GBP23041301M_ITS_P96	4324
GBP23041302M_ITS_P48	8108
GBP23041401M_ITS_P96	0
GBP23041402M_ITS_P96	9100
GBP23041403M_ITS_P96	35635
GBP23041404M_ITS_P96	45211
GBP23041405M_ITS_P96	1487
GBP23041406M_ITS_P96	30762
GBP23050301M_ITS_P96	8142
GBP23050401M_ITS_P48	57567
GBP23050402M_ITS_P48	1954
GBP23050403M_ITS_P48	5
GBP23050501M_ITS_P96	603
GBP23050502M_ITS_P48	2120
GBP23050701M_ITS_P48	16211
GBP23050702M_ITS_P96	23550
GBP23051501M_ITS_P96	997
GBP23051601M_ITS_P96	3377
GBP23051602M_ITS_P96	7600
GBP23051603M_ITS_P96	449
GBP23060101M_ITS_P96	1044
GBP23060102M_ITS_P96	19052
GBP23060103M_ITS_P48	698
GBP23060104M_ITS_P48	39209
GBP23060105M_ITS_P48	13641
GBP23060201M_ITS_P48	59475
GBP23060202M_ITS_P48	907
GBP23060203M_ITS_P96	76186
GBP23060204M_ITS_P48	10898
GBP23060205M_ITS_P48	24752
GBP23060301M_ITS_P48	202712
GBP23060302M_ITS_P48	98357
GBP23060303M_ITS_P96	3009
GBP23060304M_ITS_P96	20144
GBP23060305M_ITS_P48	38988
GBP23060401M_ITS_P96	889
GBP23060402M_ITS_P96	4824
GBP23060403M_ITS_P48	6397
GBP23060404M_ITS_P96	35676
GBP23060501M_ITS_P48	153707
GBP23060701M_ITS_P96	0
GBP23060801M_ITS_P96	2335
GBP23060901M_ITS_P48	252
GBP23061001M_ITS_P48	41054
GBP23061002M_ITS_P96	7126
GBP23061003M_ITS_P96	173
GBP23061004M_ITS_P96	55607
GBP23061005M_ITS_P96	3055
GBP23061201M_ITS_P48	38038
GBP23061202M_ITS_P96	35045
GBP23061301M_ITS_P96	8251
GBP23061303M_ITS_P48	17573
GBP23061304M_ITS_P96	9282
GBP23061305M_ITS_P96	31268
GBP23061401M_ITS_P96	0
GBP23061402M_ITS_P96	2453
GBP23061404M_ITS_P96	11323
GBP23061405M_ITS_P48	7
TOTAL_READS: 2973224
