sample	input	filtered	denoised	merged	tabled	diff1	diff2	diff3	diff4	diff.total
GBP23010301M_ITS_P48	10778	10545	10500	10455	10455	0.98	1	1	1	0.97
GBP23010302M_ITS_P96	6778	6652	6595	6470	6470	0.98	0.99	0.98	1	0.95
GBP23010303M_ITS_P96	11449	11211	11174	11068	11068	0.98	1	0.99	1	0.97
GBP23010304M_ITS_P96	19018	18635	18571	18320	18320	0.98	1	0.99	1	0.96
GBP23010305M_ITS_P96	772	733	724	700	700	0.95	0.99	0.97	1	0.91
GBP23010501M_ITS_P96	172025	165090	164640	161394	161394	0.96	1	0.98	1	0.94
GBP23010901M_ITS_P96	136	107	100	100	100	0.79	0.93	1	1	0.74
GBP23011001M_ITS_P96	53963	52072	51706	51095	51095	0.96	0.99	0.99	1	0.95
GBP23011101M_ITS_P96	4911	4682	4635	4548	4548	0.95	0.99	0.98	1	0.93
GBP23011102M_ITS_P96	10840	10364	10273	10154	10154	0.96	0.99	0.99	1	0.94
GBP23020201M_ITS_P96	7084	6451	6401	6264	6264	0.91	0.99	0.98	1	0.88
GBP23020202M_ITS_P96	4421	3847	3820	3757	3757	0.87	0.99	0.98	1	0.85
GBP23020301M_ITS_P96	21388	20950	20866	20416	20416	0.98	1	0.98	1	0.95
GBP23020302M_ITS_P96	111224	107660	107134	105011	105011	0.97	1	0.98	1	0.94
GBP23020303M_ITS_P96	87955	81639	81356	79775	79775	0.93	1	0.98	1	0.91
GBP23020304M_ITS_P96	7550	7406	7355	7157	7157	0.98	0.99	0.97	1	0.95
GBP23020305M_ITS_P96	1660	1609	1580	1523	1523	0.97	0.98	0.96	1	0.92
GBP23020401M_ITS_P96	1446	1366	1355	1344	1344	0.94	0.99	0.99	1	0.93
GBP23020402M_ITS_P96	8060	7458	7431	7075	7075	0.93	1	0.95	1	0.88
GBP23020403M_ITS_P96	73585	71191	70732	69104	69104	0.97	0.99	0.98	1	0.94
GBP23020404M_ITS_P48	1815	1785	1775	1591	1591	0.98	0.99	0.9	1	0.88
GBP23020501M_ITS_P96	2572	2271	2264	2231	2231	0.88	1	0.99	1	0.87
GBP23020601M_ITS_P96	31394	28469	28386	28074	28074	0.91	1	0.99	1	0.89
GBP23020602M_ITS_P96	31	26	20	20	20	0.84	0.77	1	1	0.65
GBP23020701M_ITS_P96	30132	28793	28624	28009	28009	0.96	0.99	0.98	1	0.93
GBP23020801M_ITS_P96	30428	28939	28776	28028	28028	0.95	0.99	0.97	1	0.92
GBP23020802M_ITS_P96	155	151	141	141	141	0.97	0.93	1	1	0.91
GBP23020901M_ITS_P48	21390	20387	20348	19893	19893	0.95	1	0.98	1	0.93
GBP23020902M_ITS_P96	3937	3838	3812	3779	3779	0.97	0.99	0.99	1	0.96
GBP23020903M_ITS_P96	38990	36585	36362	35559	35559	0.94	0.99	0.98	1	0.91
GBP23021101M_ITS_P96	7509	7215	7136	6972	6972	0.96	0.99	0.98	1	0.93
GBP23021102M_ITS_P48	61042	57354	57285	56418	56418	0.94	1	0.98	1	0.92
GBP23021103M_ITS_P96	987	930	921	919	919	0.94	0.99	1	1	0.93
GBP23021104M_ITS_P96	1905	1817	1803	1756	1756	0.95	0.99	0.97	1	0.92
GBP23021105M_ITS_P96	61015	57551	57499	56382	56382	0.94	1	0.98	1	0.92
GBP23021401M_ITS_P96	3031	2341	2313	2276	2276	0.77	0.99	0.98	1	0.75
GBP23021402M_ITS_P96	7663	7108	7066	7015	7015	0.93	0.99	0.99	1	0.92
GBP23021501M_ITS_P96	1020	977	929	923	923	0.96	0.95	0.99	1	0.9
GBP23021602M_ITS_P96	18	16	14	14	14	0.89	0.88	1	1	0.78
GBP23021603M_ITS_P96	119491	115461	115180	113839	113839	0.97	1	0.99	1	0.95
GBP23021604M_ITS_P96	37969	32255	32212	32133	32133	0.85	1	1	1	0.85
GBP23021605M_ITS_P96	32	32	27	25	25	1	0.84	0.93	1	0.78
GBP23030101M_ITS_P96	129990	122938	122694	121417	121417	0.95	1	0.99	1	0.93
GBP23030102M_ITS_P96	475	369	355	346	346	0.78	0.96	0.97	1	0.73
GBP23030201M_ITS_P96	18396	18165	18107	17897	17897	0.99	1	0.99	1	0.97
GBP23030501M_ITS_P96	64158	55719	55595	54761	54761	0.87	1	0.98	1	0.85
GBP23031301M_ITS_P96	4378	4038	3996	3876	3876	0.92	0.99	0.97	1	0.89
GBP23031401M_ITS_P96	828	661	622	605	605	0.8	0.94	0.97	1	0.73
GBP23031402M_ITS_P96	40465	39098	39016	38317	38317	0.97	1	0.98	1	0.95
GBP23031403M_ITS_P48	8518	7634	7596	7190	7190	0.9	1	0.95	1	0.84
