sample	raw	chimera.removed	too_long_variants	collapsed_100	diff.total
GBP23010301M_ITS_P48	10455	10455	10455	10455	1
GBP23010302M_ITS_P96	6470	6386	6386	6386	0.99
GBP23010303M_ITS_P96	11068	11015	11015	11015	1
GBP23010304M_ITS_P96	18320	17968	17968	17968	0.98
GBP23010305M_ITS_P96	700	700	700	700	1
GBP23010501M_ITS_P96	161394	148905	148905	148905	0.92
GBP23010901M_ITS_P96	100	100	100	100	1
GBP23011001M_ITS_P96	51095	50172	50172	50172	0.98
GBP23011101M_ITS_P96	4548	4548	4548	4548	1
GBP23011102M_ITS_P96	10154	10154	10154	10154	1
GBP23020201M_ITS_P96	6264	6258	6258	6258	1
GBP23020202M_ITS_P96	3757	3732	3732	3732	0.99
GBP23020301M_ITS_P96	20416	16550	16550	16550	0.81
GBP23020302M_ITS_P96	105011	91426	91426	91426	0.87
GBP23020303M_ITS_P96	79775	72298	72298	72298	0.91
GBP23020304M_ITS_P96	7157	7110	7110	7110	0.99
GBP23020305M_ITS_P96	1523	1523	1523	1523	1
GBP23020401M_ITS_P96	1344	1306	1306	1306	0.97
GBP23020402M_ITS_P96	7075	6777	6777	6777	0.96
GBP23020403M_ITS_P96	69104	60244	60244	60244	0.87
GBP23020404M_ITS_P48	1591	1565	1565	1565	0.98
GBP23020501M_ITS_P96	2231	2197	2197	2197	0.98
GBP23020601M_ITS_P96	28074	26431	26431	26431	0.94
GBP23020602M_ITS_P96	20	20	20	20	1
GBP23020701M_ITS_P96	28009	24107	24107	24107	0.86
GBP23020801M_ITS_P96	28028	27469	27469	27469	0.98
GBP23020802M_ITS_P96	141	141	141	141	1
GBP23020901M_ITS_P48	19893	19883	19883	19883	1
GBP23020902M_ITS_P96	3779	3779	3779	3779	1
GBP23020903M_ITS_P96	35559	33072	33072	33072	0.93
GBP23021101M_ITS_P96	6972	6820	6820	6820	0.98
GBP23021102M_ITS_P48	56418	55821	55821	55821	0.99
GBP23021103M_ITS_P96	919	919	919	919	1
GBP23021104M_ITS_P96	1756	1742	1742	1742	0.99
GBP23021105M_ITS_P96	56382	52260	52260	52260	0.93
GBP23021401M_ITS_P96	2276	2276	2276	2276	1
GBP23021402M_ITS_P96	7015	6912	6912	6912	0.99
GBP23021501M_ITS_P96	923	923	923	923	1
GBP23021602M_ITS_P96	14	14	14	14	1
GBP23021603M_ITS_P96	113839	103969	103969	103969	0.91
GBP23021604M_ITS_P96	32133	32133	32133	32133	1
GBP23021605M_ITS_P96	25	25	25	25	1
GBP23030101M_ITS_P96	121417	116020	116020	116020	0.96
GBP23030102M_ITS_P96	346	346	346	346	1
GBP23030201M_ITS_P96	17897	17520	17520	17520	0.98
GBP23030501M_ITS_P96	54761	53722	53722	53722	0.98
GBP23031301M_ITS_P96	3876	3840	3840	3840	0.99
GBP23031401M_ITS_P96	605	603	603	603	1
GBP23031402M_ITS_P96	38317	35984	35984	35984	0.94
GBP23031403M_ITS_P48	7190	7138	7138	7138	0.99
GBP23031404M_ITS_P96	2668	2618	2618	2618	0.98
GBP23031405M_ITS_P48	2524	2447	2447	2447	0.97
GBP23031601M_ITS_P96	1009	999	999	999	0.99
GBP23040101M_ITS_P96	326	321	321	321	0.98
GBP23040201M_ITS_P96	11766	11434	11434	11434	0.97
GBP23040202M_ITS_P96	137792	120167	120167	120167	0.87
GBP23040203M_ITS_P96	118132	109831	109831	109831	0.93
GBP23040301M_ITS_P96	10811	10811	10811	10811	1
GBP23040401M_ITS_P96	1600	1570	1570	1570	0.98
GBP23040402M_ITS_P48	682	654	654	654	0.96
GBP23040403M_ITS_P48	89	89	89	89	1
GBP23040701M_ITS_P96	10671	10556	10556	10556	0.99
GBP23040702M_ITS_P48	7522	7335	7335	7335	0.98
GBP23041101M_ITS_P48	100420	98069	98069	98069	0.98
GBP23041102M_ITS_P48	3789	3789	3789	3789	1
GBP23041103M_ITS_P96	1822	1812	1812	1812	0.99
GBP23041104M_ITS_P48	11289	11149	11149	11149	0.99
GBP23041105M_ITS_P96	475	475	475	475	1
GBP23041301M_ITS_P96	4148	4084	4084	4084	0.98
GBP23041302M_ITS_P48	7825	7576	7576	7576	0.97
GBP23041401M_ITS_P96	143852	128174	128174	128174	0.89
GBP23041402M_ITS_P96	8515	8388	8388	8388	0.99
GBP23041403M_ITS_P96	32564	30756	30756	30756	0.94
GBP23041404M_ITS_P96	43268	41689	41689	41689	0.96
GBP23041405M_ITS_P96	1457	1451	1451	1451	1
GBP23041406M_ITS_P96	61224	56327	56327	56327	0.92
GBP23050301M_ITS_P96	7202	7060	7060	7060	0.98
