sample	reads
Y23010501PI_ITS	102889
Y23020402PI_ITS	103845
Y23030102PI_ITS	104747
Y23031301PI_ITS	92576
Y23031403PI_ITS	107970
Y23040403PI_ITS	105677
Y23041401PI_ITS	103019
Y23041402PI_ITS	102041
Y23050301PI_ITS	106463
Y23050403PI_ITS	84807
Y23050701PI_ITS	104457
Y23050702PI_ITS	116863
Y23060101PI_ITS	103101
Y23060102PI_ITS	57960
Y23060103PI_ITS	103723
Y23060104PI_ITS	103800
Y23060204PI_ITS	103973
Y23060301PI_ITS	145631
Y23060302PI_ITS	12520
Y23060303PI_ITS	103243
Y23060404PI_ITS	104513
Y23061001PI_ITS	106187
Y23061401PI_ITS	117059
Y23061402PI_ITS	103516
Y23061405PI_ITS	106345
TOTAL_READS: 2506925
