	GBP23010301M_ITS_P48	GBP23010302M_ITS_P96	GBP23010303M_ITS_P96	GBP23010304M_ITS_P96	GBP23010305M_ITS_P96	GBP23010501M_ITS_P96	GBP23010901M_ITS_P96	GBP23011001M_ITS_P96	GBP23011101M_ITS_P96	GBP23011102M_ITS_P96	GBP23020201M_ITS_P96	GBP23020202M_ITS_P96	GBP23020301M_ITS_P96	GBP23020302M_ITS_P96	GBP23020303M_ITS_P96	GBP23020304M_ITS_P96	GBP23020305M_ITS_P96	GBP23020401M_ITS_P96	GBP23020402M_ITS_P96	GBP23020403M_ITS_P96	GBP23020404M_ITS_P48	GBP23020501M_ITS_P96	GBP23020601M_ITS_P96	GBP23020602M_ITS_P96	GBP23020701M_ITS_P96	GBP23020801M_ITS_P96	GBP23020802M_ITS_P96	GBP23020901M_ITS_P48	GBP23020902M_ITS_P96	GBP23020903M_ITS_P96	GBP23021101M_ITS_P96	GBP23021102M_ITS_P48	GBP23021103M_ITS_P96	GBP23021104M_ITS_P96	GBP23021105M_ITS_P96	GBP23021401M_ITS_P96	GBP23021402M_ITS_P96	GBP23021501M_ITS_P96	GBP23021602M_ITS_P96	GBP23021603M_ITS_P96	GBP23021604M_ITS_P96	GBP23021605M_ITS_P96	GBP23030101M_ITS_P96	GBP23030102M_ITS_P96	GBP23030201M_ITS_P96	GBP23030501M_ITS_P96	GBP23031301M_ITS_P96	GBP23031401M_ITS_P96	GBP23031402M_ITS_P96	GBP23031403M_ITS_P48	GBP23031404M_ITS_P96	GBP23031405M_ITS_P48	GBP23031601M_ITS_P96	GBP23040101M_ITS_P96	GBP23040201M_ITS_P96	GBP23040202M_ITS_P96	GBP23040203M_ITS_P96	GBP23040301M_ITS_P96	GBP23040401M_ITS_P96	GBP23040402M_ITS_P48	GBP23040403M_ITS_P48	GBP23040701M_ITS_P96	GBP23040702M_ITS_P48	GBP23041101M_ITS_P48	GBP23041102M_ITS_P48	GBP23041103M_ITS_P96	GBP23041104M_ITS_P48	GBP23041105M_ITS_P96	GBP23041301M_ITS_P96	GBP23041302M_ITS_P48	GBP23041401M_ITS_P96	GBP23041402M_ITS_P96	GBP23041403M_ITS_P96	GBP23041404M_ITS_P96	GBP23041405M_ITS_P96	GBP23041406M_ITS_P96	GBP23050301M_ITS_P96	GBP23050401M_ITS_P48	GBP23050402M_ITS_P48	GBP23050403M_ITS_P48	GBP23050501M_ITS_P96	GBP23050502M_ITS_P48	GBP23050701M_ITS_P48	GBP23050702M_ITS_P96	GBP23051501M_ITS_P96	GBP23051601M_ITS_P96	GBP23051602M_ITS_P96	GBP23051603M_ITS_P96	GBP23060101M_ITS_P96	GBP23060102M_ITS_P96	GBP23060103M_ITS_P48	GBP23060104M_ITS_P48	GBP23060105M_ITS_P48	GBP23060201M_ITS_P48	GBP23060202M_ITS_P48	GBP23060203M_ITS_P96	GBP23060204M_ITS_P48	GBP23060205M_ITS_P48	GBP23060301M_ITS_P48	GBP23060302M_ITS_P48	GBP23060303M_ITS_P96	GBP23060304M_ITS_P96	GBP23060305M_ITS_P48	GBP23060401M_ITS_P96	GBP23060402M_ITS_P96	GBP23060403M_ITS_P48	GBP23060404M_ITS_P96	GBP23060501M_ITS_P48	GBP23060701M_ITS_P96	GBP23060801M_ITS_P96	GBP23060901M_ITS_P48	GBP23061001M_ITS_P48	GBP23061002M_ITS_P96	GBP23061003M_ITS_P96	GBP23061004M_ITS_P96	GBP23061005M_ITS_P96	GBP23061201M_ITS_P48	GBP23061202M_ITS_P96	GBP23061301M_ITS_P96	GBP23061303M_ITS_P48	GBP23061304M_ITS_P96	GBP23061305M_ITS_P96	GBP23061401M_ITS_P96	GBP23061402M_ITS_P96	GBP23061404M_ITS_P96	GBP23061405M_ITS_P48	neg1_ITS_P96	neg2_ITS_P96	neg4_ITS_P96	neg6_ITS_P48	neg7_ITS_P48	neg9_ITS_P48	negPCR_ITS_P48	negPCR_ITS_P96
ASV_1	0	159	0	0	0	105712	0	0	4169	7633	0	0	114	1124	0	168	0	0	0	12211	0	1868	7470	0	6324	18435	63	0	0	6468	2678	976	918	1169	28588	0	0	175	0	71	793	0	0	0	0	36534	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	12	0	0	0	120	39	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	43	0	65	16	0	0	0	0	0	0	0	0	12921	0	256	0	2099	47	113	0	404	0	0	0	0	298	0	69	0	0	0	324	0	0	1092	0	0	0	123	0	43	0	0	226	88	0	0	0	0	0	3406
ASV_2	0	0	0	0	0	140	0	0	39	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	1561	0	0	0	0	12	0	0	0	0	50	0	0	0	0	93	0	428	0	1103	837	254	145	0	0	118	21881	460	415	0	0	0	0	0	2199	434	0	91	178	0	46	50113	3061	13766	2286	0	14765	2399	6595	140	0	10	0	0	450	0	541	1503	368	0	3370	25	2134	546	448	0	2075	0	0	40572	20648	1126	643	2257	0	1572	0	483	12233	0	0	0	9219	352	15	282	0	2999	2856	165	186	709	1734	14861	561	3009	0	88	56	31	0	0	0	0	0
ASV_3	0	0	31	0	0	0	0	274	0	0	0	0	0	1082	0	0	0	0	0	0	0	0	7629	0	0	27	0	0	0	12381	66	53379	0	272	31	1401	0	0	0	27900	30901	0	75735	0	263	17	0	0	0	0	0	278	0	0	0	13	0	0	0	0	0	372	345	0	0	0	36	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27016	0	0	1115	621	0	0	0	0	0	0	0	0	0	0	23	21	0	0	32	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	0	0	0	0	0	0	0	245	0	0	0	221	4296	0	0	143	0	471	1125	0	458	0	0	0	0	0	0	0	0	0	710	0	0	0	0	145	564	0	0	9033	0	0	578	0	3655	0	1290	185	11347	1384	1077	0	0	0	4432	14170	39627	0	647	319	89	0	0	820	0	0	371	0	1234	4918	484	0	2689	237	704	6412	0	21249	0	0	0	0	0	0	0	0	0	0	326	110	0	1209	300	24342	0	42	2808	389	713	16310	0	0	0	0	0	144	0	1352	0	334	0	406	0	78	446	0	0	0	0	0	2906	114	0	27	0	0	0	87	0	0	0	0	0	0
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	5674	0	0	0	0	925	875	0	0	0	0	0	61	0	0	0	0	0	1260	0	0	0	0	0	856	0	0	4073	0	0	2692	271	6722	0	1992	0	11905	805	0	766	575	277	3610	16736	39365	0	891	386	0	75	0	0	294	419	489	0	1933	1580	454	10	2608	0	673	16352	0	14775	0	0	0	0	100	0	0	872	0	0	276	0	0	0	0	3850	0	0	1016	529	626	11802	0	296	19	146	0	0	450	700	0	409	0	301	0	0	718	0	1703	0	93	248	2865	0	0	0	0	0	0	0	203	0	0	0	0	0
ASV_6	5705	4512	5600	11480	0	2275	0	0	0	0	0	0	3185	17321	33365	4838	1492	0	620	12208	441	0	8263	0	1386	541	76	164	2656	1669	821	0	0	0	0	133	0	153	0	5467	53	0	4010	0	2892	2247	0	0	0	0	0	0	0	0	0	192	0	397	0	0	0	0	0	0	0	0	29	125	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	111	169	0	0	0	0	0	0	256	357	0	2640	2093	474	353	599	0	0	0	0	0	0	209	0	0	247	32	0	0	0	57	165	0	759	0	141	90	53	0	152	0	0	27	31	0	0	0	0	0	565
ASV_7	9	0	17	0	202	648	0	0	45	65	54	0	0	195	70	317	0	0	44	12509	0	500	0	0	0	0	0	0	0	0	1029	9	0	0	19195	17	0	0	0	124	400	0	538	0	244	4623	0	0	0	85	0	0	0	0	0	0	0	1555	0	0	0	0	0	68342	890	19	5082	38	0	0	0	0	0	0	0	0	0	0	0	0	0	1231	0	37	0	0	0	0	0	0	0	0	0	328	0	21	0	1207	0	0	21	0	0	0	24	0	0	5067	0	0	0	0	0	0	18	0	34	617	0	84	0	0	0	10	121	0	0	52	0	0	0	0	0	7
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775	0	19771	466	68634	4736	0	1628	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	732	0	0	0	0	0	0	0	0	0	0	0	7601	4411	223	59	0	452	0	280	0	0	0	0	114	0	0	0	139	0	0	0	0	0	0	135	0	0	0	0	0	1370	88	132	0	0	0	0	0	192	0	0	38	289	21416	8981	6701	80	0	0	0	0	0	0	218	0	0	0	0	20086	0	687	0	65	2589	221	0	0	0	0	0	0	445	0	0	0	0	27	210	0	0	0	0	0	319	1366	0	850	132	0	0	0	0	14	0	19	113	0	225	0	0	0	0	0	0	0	0	0	23	285	0	0	0	3198	0	11	0	0	0	0	0	0	14
ASV_10	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	40	299	606	0	1600	53	0	0	0	0	0	0	0	0	0	0	0	0	28	0	8	36585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1852	0	0	0	4901	0	0	0	0	22095	8164	36	0	0	160	0	19	212	0	63	3330	298	22	251	0	0	10	0	0	0	0	0	0	0	0	0
ASV_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3585	0	0	0	0	0	0	8440	0	0	0	0	0	0	0	1297	0	0	0	0	0	0	15396	3543	1412	0	0	3190	0	3341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	104	12244	10448	0	0	1098	0	0	0	0	2756	0	0	0	867	0	0	0	0	0	339	0	0	0	959	6230	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964	0	21097	612	35282	3858	0	1577	36	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	0	0	0	962	0	1634	0	73	0	339	3365	1058	1092	66	123	53	0	0	0	2114	0	0	426	0	7816	0	0	13225	0	7008	65	0	0	0	0	111	0	0	0	3843	985	0	52	0	60	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	10615	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	14	78	0	91	0	23226	0	25325	0	0	0	0	0	0	232	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	4794	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	32	20	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	12	0	32	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	0	39	0	0	30	0	336	0	0	0	0	0	0	0	0	0	0	183	71	0	0	0	0	4051	4109	0	0	0	5	0	0	0	290	52	0	13388	0	484	0	0	0	0	0	0	2117	4351	0	114	2399	0	21	29	55	908	372	313	30	0	0	7439	0	276	0	0	240	0	0	0	0	0	3146	0	0	2644	0	0	0	0	777	0	2134	0	0	177	542	0	272	0	0	0	0	0	0	0	0	0
