	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_2	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_3	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Pedicularis	sylvatica
ASV_4	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_5	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_6	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	NA
ASV_7	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_8	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_9	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_10	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Daboecia	NA
ASV_11	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_12	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_13	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	labradorica
ASV_14	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Helleborus	atrorubens/viridis
ASV_15	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_16	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_17	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	NA
ASV_18	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Erica	NA
ASV_19	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Symphytum	NA
ASV_20	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Erica	cinerea
ASV_21	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_22	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_23	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	NA
ASV_24	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_25	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_26	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Primulaceae	Primula	NA
ASV_27	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Brandisia	NA
ASV_28	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Symphytum	NA
ASV_29	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	NA
ASV_30	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Digitalis	mariana/purpurea/thapsi
ASV_31	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Daboecia	NA
ASV_32	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_33	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	occidentale/repens
ASV_34	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Symphytum	NA
ASV_35	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Pulmonaria	longifolia
ASV_36	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Lathraea	NA
ASV_37	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	NA
ASV_38	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_39	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_40	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	bulbosus
ASV_41	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	vulgare
ASV_42	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_43	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	NA
ASV_44	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_45	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_46	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	NA
ASV_47	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Ulex	NA
ASV_48	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	NA
ASV_49	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Erica	vagans
ASV_50	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_51	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_52	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_53	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_54	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	NA
ASV_55	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	NA
ASV_56	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	environmental/repens
ASV_57	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	NA
ASV_58	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	NA
ASV_59	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Erysimum	NA
ASV_60	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	NA
ASV_61	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_62	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Anthyllis	NA
ASV_63	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_64	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_65	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	NA
ASV_66	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_67	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	NA
ASV_68	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Primulaceae	Primula	NA
ASV_69	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	NA
ASV_70	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_71	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_72	Viridiplantae	Streptophyta	Magnoliopsida	Oxalidales	Oxalidaceae	Oxalis	acetosella
ASV_73	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	NA
ASV_74	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	NA
ASV_75	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_76	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Pulmonaria	NA
ASV_77	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Erucastrum	NA
ASV_78	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_79	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Brandisia	NA
ASV_80	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	environmental/lanceolata/leiopetala
ASV_81	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_82	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	NA
ASV_83	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	NA
ASV_84	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_85	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	Spondias	NA
ASV_86	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	NA
ASV_87	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_88	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_89	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_90	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Ulex	NA
ASV_91	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Brandisia	NA
ASV_92	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	canescens/media
ASV_93	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	NA
ASV_94	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_95	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Pulmonaria	NA
ASV_96	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum	NA
ASV_97	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_98	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Erica	NA
ASV_99	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_100	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_101	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
