"";"sample";"year";"period";"site";"specimen";"color_p";"color_s";"type";"plate";"quant_reading";"is.neg";"Abelmoschus";"Achillea";"Aconitum";"Actinidia";"Aegilops";"Aegonychon";"Agrostis";"Ajuga";"Allium";"Alnus";"Anagallis";"Anemone";"Anthoxanthum";"Anthyllis";"Arabis";"Arenaria";"Arrhenatherum";"Bellis";"Betula";"Brachypodium";"Brassica";"Caltha";"Campanula";"Cardamine";"Carduus";"Carex";"Castanea";"Chaerophyllum";"Chrysosplenium";"Cirsium";"Citrus";"Clematis";"Clinopodium";"Colocasia";"Conium";"Crataegus";"Crepis";"Cucumis";"Daboecia";"Dactylis";"Digitalis";"Echium";"Erica";"Erinus";"Erodium";"Erucastrum";"Eryngium";"Erysimum";"Erythronium";"Eucalyptus";"Fagus";"Festuca";"Galium";"Genista";"Gentiana";"Geranium";"Glandora";"Glechoma";"Globularia";"Helianthemum";"Helleborus";"Herniaria";"Hieracium";"Hippocrepis";"Holcus";"Hypericum";"Hypochaeris";"Iberis";"Ilex";"Jasione";"Juglans";"Lamium";"Lathraea";"Lathyrus";"Leontodon";"Leucanthemum";"Linaria";"Linum";"Lithodora";"Lolium";"Lotus";"Melampyrum";"Myosotis";"Narcissus";"Oxalis";"Parietaria";"Pedicularis";"Pilosella";"Pinguicula";"Plantago";"Platanus";"Pleuropterus";"Poa";"Polygala";"Potentilla";"Primula";"Pritzelago";"Prunella";"Prunus";"Pulmonaria";"Pyrus";"Quercus";"Ranunculus";"Raphanus";"Rhinanthus";"Robinia";"Rosa";"Rubus";"Salix";"Sambucus";"Scrophularia";"Sedum";"Sideritis";"Silybum";"Sisymbrium";"Solanum";"Stellaria";"Symphytum";"Taraxacum";"Teucrium";"Thymus";"Tornabenea";"Tragopogon";"Trifolium";"Tripleurospermum";"Ulex";"Urtica";"Vaccinium";"Veronica";"Vicia";"Viola"
"1";"GBP23010301M_ITS_P48";23;1;3;"01M";"#440154FF";"#240C4FFF";"sample";"P48";10455;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;18;0;14;0;0;0;0;0;0;0;0;0;0;0;0;3892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;9;0
"2";"GBP23010302M_ITS_P96";23;1;3;"02M";"#440154FF";"#240C4FFF";"sample";"P96";6470;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;673;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;683;0
"3";"GBP23010303M_ITS_P96";23;1;3;"03M";"#440154FF";"#240C4FFF";"sample";"P96";11068;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4319;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;3;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;14;20
"4";"GBP23010304M_ITS_P96";23;1;3;"04M";"#440154FF";"#240C4FFF";"sample";"P96";18320;FALSE;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;3698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1066
"5";"GBP23010305M_ITS_P96";23;1;3;"05M";"#440154FF";"#240C4FFF";"sample";"P96";700;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0
"6";"GBP23010501M_ITS_P96";23;1;5;"01M";"#440154FF";"#5D126EFF";"sample";"P96";161394;FALSE;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;133;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;437;0;0;0;23298;0;0;0;0;6;0;0;0;0;0;0;0;963;0;0;0;0;0;0;106;0;0;513;87;0;0;0;0;0;70;0;0;287;12;191;0;0;375;610;0;30;4;0;0;0;0;12;9;0;0;0;0;0;0;0;0;0;1261;0;0;0;0;48;0;0;4;4460;14;0;1257
"7";"GBP23010901M_ITS_P96";23;1;9;"01M";"#440154FF";"#C73E4CFF";"sample";"P96";100;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"GBP23011001M_ITS_P96";23;1;10;"01M";"#440154FF";"#DD513AFF";"sample";"P96";51095;FALSE;9;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;8;0;16;0;0;793;0;0;0;0;0;2;0;0;0;25854;0;0;0;0;0;0;0;0;0;0;951;0;0;10;0;103;0;0;0;12;0;0;0;7;0;281;0;0;66;0;0;0;0;64;343;0;38;0;7;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17285;288;0;0;0;0;1010;0;453;0;0;0;234;30
"9";"GBP23011101M_ITS_P96";23;1;11;"01M";"#440154FF";"#ED6925FF";"sample";"P96";4548;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;39;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;20;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3
"10";"GBP23011102M_ITS_P96";23;1;11;"02M";"#440154FF";"#ED6925FF";"sample";"P96";10154;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;408;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;15;125;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;16;0;0;0;22;0;255;337
