sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23010301M_ITS_P48	23	p01	s03	01M	#440154FF	#240C4FFF	sample	P48	10359
GBP23010302M_ITS_P96	23	p01	s03	02M	#440154FF	#240C4FFF	sample	P96	6445
GBP23010303M_ITS_P96	23	p01	s03	03M	#440154FF	#240C4FFF	sample	P96	10901
GBP23010304M_ITS_P96	23	p01	s03	04M	#440154FF	#240C4FFF	sample	P96	18224
GBP23010305M_ITS_P96	23	p01	s03	05M	#440154FF	#240C4FFF	sample	P96	710
GBP23010501M_ITS_P96	23	p01	s05	01M	#440154FF	#5D126EFF	sample	P96	160534
GBP23010901M_ITS_P96	23	p01	s09	01M	#440154FF	#C73E4CFF	sample	P96	106
GBP23011101M_ITS_P96	23	p01	s11	01M	#440154FF	#ED6925FF	sample	P96	4496
GBP23011102M_ITS_P96	23	p01	s11	02M	#440154FF	#ED6925FF	sample	P96	10049
GBP23020201M_ITS_P96	23	p02	s02	01M	#414487FF	#0C0826FF	sample	P96	6312
GBP23020305M_ITS_P96	23	p02	s03	05M	#414487FF	#240C4FFF	sample	P96	1568
GBP23020401M_ITS_P96	23	p02	s04	01M	#414487FF	#420A68FF	sample	P96	1345
GBP23020402M_ITS_P96	23	p02	s04	02M	#414487FF	#420A68FF	sample	P96	7099
GBP23020403M_ITS_P96	23	p02	s04	03M	#414487FF	#420A68FF	sample	P96	69219
GBP23020404M_ITS_P48	23	p02	s04	04M	#414487FF	#420A68FF	sample	P48	1658
GBP23020501M_ITS_P96	23	p02	s05	01M	#414487FF	#5D126EFF	sample	P96	2204
GBP23020601M_ITS_P96	23	p02	s06	01M	#414487FF	#781C6DFF	sample	P96	27528
GBP23020602M_ITS_P96	23	p02	s06	02M	#414487FF	#781C6DFF	sample	P96	25
GBP23020801M_ITS_P96	23	p02	s08	01M	#414487FF	#AE305CFF	sample	P96	27657
GBP23020802M_ITS_P96	23	p02	s08	02M	#414487FF	#AE305CFF	sample	P96	145
GBP23020901M_ITS_P48	23	p02	s09	01M	#414487FF	#C73E4CFF	sample	P48	20045
GBP23020903M_ITS_P96	23	p02	s09	03M	#414487FF	#C73E4CFF	sample	P96	35623
GBP23021101M_ITS_P96	23	p02	s11	01M	#414487FF	#ED6925FF	sample	P96	6930
GBP23021103M_ITS_P96	23	p02	s11	03M	#414487FF	#ED6925FF	sample	P96	917
GBP23021104M_ITS_P96	23	p02	s11	04M	#414487FF	#ED6925FF	sample	P96	1753
GBP23021105M_ITS_P96	23	p02	s11	05M	#414487FF	#ED6925FF	sample	P96	55787
GBP23021401M_ITS_P96	23	p02	s14	01M	#414487FF	#FAC62DFF	sample	P96	2305
GBP23021501M_ITS_P96	23	p02	s15	01M	#414487FF	#F2E661FF	sample	P96	935
GBP23021602M_ITS_P96	23	p02	s16	02M	#414487FF	#FCFFA4FF	sample	P96	16
GBP23021604M_ITS_P96	23	p02	s16	04M	#414487FF	#FCFFA4FF	sample	P96	32032
GBP23030101M_ITS_P96	23	p03	s01	01M	#2A788EFF	#000004FF	sample	P96	121085
GBP23030102M_ITS_P96	23	p03	s01	02M	#2A788EFF	#000004FF	sample	P96	360
GBP23030201M_ITS_P96	23	p03	s02	01M	#2A788EFF	#0C0826FF	sample	P96	17631
GBP23030501M_ITS_P96	23	p03	s05	01M	#2A788EFF	#5D126EFF	sample	P96	54257
GBP23031301M_ITS_P96	23	p03	s13	01M	#2A788EFF	#FCA50AFF	sample	P96	3961
GBP23031402M_ITS_P96	23	p03	s14	02M	#2A788EFF	#FAC62DFF	sample	P96	38170
GBP23031404M_ITS_P96	23	p03	s14	04M	#2A788EFF	#FAC62DFF	sample	P96	2770
GBP23031405M_ITS_P48	23	p03	s14	05M	#2A788EFF	#FAC62DFF	sample	P48	2678
GBP23031601M_ITS_P96	23	p03	s16	01M	#2A788EFF	#FCFFA4FF	sample	P96	1016
GBP23040201M_ITS_P96	23	p04	s02	01M	#22A884FF	#0C0826FF	sample	P96	11722
GBP23040202M_ITS_P96	23	p04	s02	02M	#22A884FF	#0C0826FF	sample	P96	137162
GBP23040401M_ITS_P96	23	p04	s04	01M	#22A884FF	#420A68FF	sample	P96	1635
GBP23040402M_ITS_P48	23	p04	s04	02M	#22A884FF	#420A68FF	sample	P48	678
GBP23040403M_ITS_P48	23	p04	s04	03M	#22A884FF	#420A68FF	sample	P48	97
GBP23040701M_ITS_P96	23	p04	s07	01M	#22A884FF	#932667FF	sample	P96	10654
GBP23041102M_ITS_P48	23	p04	s11	02M	#22A884FF	#ED6925FF	sample	P48	3834
GBP23041103M_ITS_P96	23	p04	s11	03M	#22A884FF	#ED6925FF	sample	P96	1844
GBP23041104M_ITS_P48	23	p04	s11	04M	#22A884FF	#ED6925FF	sample	P48	11411
GBP23041105M_ITS_P96	23	p04	s11	05M	#22A884FF	#ED6925FF	sample	P96	479
GBP23041301M_ITS_P96	23	p04	s13	01M	#22A884FF	#FCA50AFF	sample	P96	4157
GBP23041302M_ITS_P48	23	p04	s13	02M	#22A884FF	#FCA50AFF	sample	P48	7794
