Spec
Achillea millefolium
Acinos alpinus
Ajuga reptans
Anacamptis pyramidalis
Anemone nemorosa
Anthillys vulneraria
Anthyllis vulneraria
Arabis alpina
Arabis aplina
Arenaria grandiflora
Arenaria grandiflora subsp. grandiflora
Arenaria montana
Arenaria serpyllifolia
Bellis perennis
Caltha palustris
Campana arenaria
Campanilla morada
Campanula glomerata
Campanula hispanica
Capsella bursa
Capsella bursa-pastoris
Cardamine amarilla
Cardamine flexuosa
Cardamine hirusta
Cardamine pratensis
Carduncellus mitissimus
Carthamus mitissimus
Cerastium fontanum
Cerastium vulgare
Chamaemelum nobile
Chrysosplenium oppositifolium
Cirsium eriophorum
Cirsium palustre
Cirsium vulgare
Clinopodium alpinus
Clinopodium vulgare
Colchicum montanm
Crataegus monogyna
Daboecia cantabrica
Dianthus hyssopifolius subsp. Hyssopifolius
Digitalis purpurea
Endressia castellana
Erica arborea
Erica arborea/lusitanica
Erica cinerea
Erica lusitanica
Erica tetralix
Erica vagans
Erica vagans 
Erinus alpinus
Eryngium bourgatii
Erysimum gorbeanum
Euphorbia dulce
Euphrasia alpina
Euphrasia officinalis
Fake manzania
Fragaria vesca
Galium mollugo
Galium pinetorum
Galium saxatila
Galium saxatile
Gallium saxatile
Genista hispanica
Geranium molle
Geranium pyrenaicum
Geranium robertianum
Helianthemum nummularim
Helianthemum nummularium
Helleborus viridis
Helleborus viridis subsp. occidentalis
Hepatica nobilis
Hippocrepis comosa
Hippocrepis nomosa
Hornungia alpina
Hornungia petraea
Hutchinisia alpina
Hutchinsia alpina
Hutchsinsia alpina
Hypochaeris radicata
Jasione laevis
Jasione montana
Lamium galeobdolon
Lamium purpureum
Lathyrus linifolius
Lathyrus linofolius
Leontodon taraxacoides
Linaria propinqua
Linaria supina
Linum catharticum
Lotus corniculatus
Lysimachia nemorum
Manzanilla
Meconopsis cambrica
Medicago lupulina
Merendera montana
Minuartia verna
Moeringia trinervia
Myosotis lamottiana
Narcissus pseudonarcissus subs. palidiflorus
Narthecium ossifragum
Orchis mascula
Origanum vulgare
Oxalis acetosella
Pedicularis sylvatica
Pedicularis sylvatica subsp. sylvatica
Pilosella lactucella
Pilosella officinarum
Pinguicula grandiflora
Plantago lanceolata
Plantago media
Polygala serpyllifolia
Polygala vulgaris
Potentiila erecta
Potentilla erecta
Potentilla montana
Potentilla sterilis
Potentilla sterillis
Primula elatior
Primula veris
Prunella grandiflora
Prunella vulgaris
Ranunculus acris
Ranunculus bulbosus
Ranunculus ficaria
Ranunculus repens
Ranunculus repens 
Ranunculus tuberosus
Ranunculus tuberous
Rhinanthus angustifolius
Rosa arvensis
Rosa canina
Rubus ulmifolius
Saxifraga hirsuta
Saxifraga hirsuta
Scilla verna
Scorzonera humilis
Sedum album
Sedum anglicum
Sedum dasyphyllum
Sherardia arvensis
Stellaria holostea
Stellaria media
Sysimbrium irio
Taraxacum gr. officinale
Taraxacum officinale
Teucrium pyrenaicum
Teucrium pyrenaicum L. subsp. pyrenaicum
Teucrium scorodonia
Thesium pyrenaicum
Thymus polytrichus
Thymus praecox
Thymus praecox subsp. polytrichus
Trifolium pratense
Trifolium repens
Trifolium repens 
Ulex europaeus
Ulex gallii
Vaccinium myrtillus
Veronica chamaedrys
Veronica officinalis
Veronica persica
Vicia pyrenaica
Viola riviniana
