"","x"
"1","Abelmoschus"
"2","Aciphylla"
"3","Actinidia"
"4","Adolphia"
"5","Anaphalioides"
"6","Arrhenatherum"
"7","Brandisia"
"8","Brassica"
"9","Citrus"
"10","Colocasia"
"11","Conium"
"12","Coptidium"
"13","Cucumis"
"14","Fuscospora"
"15","Heritiera"
"16","Leontodon"
"17","Leptospermum"
"18","Liriodendron"
"19","Lithodora"
"20","Megalachne"
"21","Morus"
"22","Ozothamnus"
"23","Packera"
"24","Picnomon"
"25","Platanus"
"26","Pleuropterus"
"27","Pseudopanax"
"28","Silybum"
"29","Spartina"
"30","Tornabenea"
"31","Tripleurospermum"
"32","Triticum"
"33","Alopecurus"
"34","Anarthrophyllum"
"35","Atriplex"
"36","Calamagrostis"
"37","Capsicum"
"38","Chaetopogon"
"39","Citrullus"
"40","Coriandrum"
"41","Cynanchum"
"42","Descurainia"
"43","Helictochloa"
"44","Horkeliella"
"45","Kali"
"46","Libanotis"
"47","Micropyropsis"
"48","Miscanthus"
"49","Setaria"
"50","Stipa"
"51","Triglochin"
"52","Trigonotis"
"53","Ziziphora"
