"","Plant","Occurrence_in_mb_results","occurrence_in_ref_database"
"1","Satureja alpina ssp. pyrenaea",0,0
"2","Anthillys vulneraria",0,0
"3","Arabis aplina",0,0
"4","Arenaria grandiflora subsp.grandiflora",0,0
"5","Arenaria montana",0,0
"6","SI (Campana arenaria)",0,0
"7","Campanilla morada",0,0
"8","Campanula hispanica",0,0
"9","Capsella bursa-pastoris",0,0
"10","Cardamine amarilla",0,0
"11","Cardamine hirusta",0,0
"12","Cerastium vulgare",0,0
"13","Chrysosp.enium oppositifolium",0,0
"14","Cirsium eriophorum ssp. richteria",0,0
"15","Clinopodium alpinus",0,0
"16","Colchicum montanm",0,0
"17","Dianthus hyssopifolius subsp.Hyssopifolius",0,0
"18","Erica arborea/lusitanica",0,0
"19","Euphrasia alpina",0,0
"20","Fake manzania",0,0
"21","Galium pinetorum",0,0
"22","Galium saxatila",0,0
"23","Gallium saxatile",0,0
"24","Helianthemum nummularim",0,0
"25","Helleborus viridis subsp.occidentalis",0,0
"26","Hippocrepis nomosa",0,0
"27","Hornungia alpina",0,0
"28","Hutchsinsia alpina",0,0
"29","Jasione sp.",0,0
"30","Lathyrus linifolius",0,0
"31","Lathyrus linofolius",0,0
"32","Manzanilla",0,0
"33","Colchicum montanum",0,0
"34","Moeringia trinervia",0,0
"35","Myosotis lamottiana",0,0
"36","Narcissus pseudonarcissus subs. palidiflorus",0,0
"37","Narthecium ossifragum",0,0
"38","Pedicularis sylvatica subsp.sylvatica",0,0
"39","Pilosella lactucella",0,0
"40","Polygala serpyllifolia",0,0
"41","Potentilla montana",0,0
"42","Potentilla sterilis",0,0
"43","Ranunculus tuberosus",0,0
"44","Ranunculus tuberous",0,0
"45","Rhinanthus angustifolius",0,0
"46","Scilla verna",0,0
"47","Sysimbrium irio",0,0
"48","Teucrium pyrenaicum L. subsp.pyrenaicum",0,0
"49","Thesium pyrenaicum",0,0
"50","Thymus praecox ssp.polytrichus",0,0
"51","Thymus praecox subsp.polytrichus",0,0
"52","Trifolium pratanse",0,0
