"","Plant","Occurrence_in_mb_results","occurrence_in_ref_database"
"1","Achillea millefolium",1,1
"2","Satureja alpina ssp. pyrenaea",0,0
"3","Ajuga reptans",1,1
"4","Anacamptis pyramidalis",0,1
"5","Anemone nemorosa",0,1
"6","Anthillys vulneraria",0,0
"7","Anthyllis vulneraria",0,1
"8","Arabis alpina",0,1
"9","Arabis aplina",0,0
"10","Arenaria grandiflora",0,1
"11","Arenaria grandiflora subsp.grandiflora",0,0
"12","Arenaria montana",0,0
"13","Arenaria serpyllifolia",0,1
"14","Bellis perennis",1,1
"15","Caltha palustris",0,1
"16","SI (Campana arenaria)",0,0
"17","Campanilla morada",0,0
"18","Campanula glomerata",0,1
"19","Campanula hispanica",0,0
"20","Capsella bursa-pastoris",0,0
"21","Capsella bursa-pastoris",0,0
"22","Cardamine amarilla",0,0
"23","Cardamine flexuosa",0,1
"24","Cardamine hirusta",0,0
"25","Cardamine pratensis",1,1
"26","Carduncellus mitissimus",0,1
"27","Carduncellus mitissimus",0,1
"28","Cerastium fontanum",0,1
"29","Cerastium vulgare",0,0
"30","Chamaemelum nobile",0,1
"31","Chrysosp.enium oppositifolium",0,0
"32","Cirsium eriophorum ssp. richteria",0,0
"33","Cirsium palustre",1,1
"34","Cirsium vulgare",1,1
"35","Clinopodium alpinus",0,0
"36","Clinopodium vulgare",1,1
"37","Colchicum montanm",0,0
"38","Crataegus monogyna",1,1
"39","Daboecia cantabrica",0,1
"40","Dianthus hyssopifolius subsp.Hyssopifolius",0,0
"41","Digitalis purpurea",0,1
"42","Endressia castellana",0,1
"43","Erica arborea",1,1
"44","Erica arborea/lusitanica",0,0
"45","Erica cinerea",1,1
"46","Erica lusitanica",0,1
"47","Erica tetralix",0,1
"48","Erica vagans",1,1
"49","Erica vagans ",0,0
"50","Erinus alpinus",0,1
"51","Eryngium bourgatii",0,1
"52","Erysimum gorbeanum",0,1
"53","Euphorbia dulcis",0,1
"54","Euphrasia alpina",0,0
"55","Euphrasia officinalis",0,1
"56","Fake manzania",0,0
"57","Fragaria vesca",0,1
"58","Galium mollugo",0,1
"59","Galium pinetorum",0,0
"60","Galium saxatila",0,0
"61","Galium saxatile",0,1
"62","Gallium saxatile",0,0
"63","Genista hispanica",0,1
"64","Geranium molle",0,1
"65","Geranium pyrenaicum",0,1
"66","Geranium robertianum",0,1
"67","Helianthemum nummularim",0,0
"68","Helianthemum nummularium",0,1
"69","Helleborus viridis",0,1
"70","Helleborus viridis subsp.occidentalis",0,0
"71","Hepatica nobilis",0,1
"72","Hippocrepis comosa",0,1
"73","Hippocrepis nomosa",0,0
"74","Hornungia alpina",0,0
"75","Hornungia petraea",0,1
"76","Hutchinsia alpina",0,1
"77","Hutchinsia alpina",0,1
"78","Hutchsinsia alpina",0,0
"79","Hypochaeris radicata",0,1
"80","Jasione laevis",0,1
"81","Jasione sp.",0,0
"82","Lamium galeobdolon",0,1
"83","Lamium purpureum",0,1
"84","Lathyrus linifolius",0,0
"85","Lathyrus linofolius",0,0
"86","Leontodon taraxacoides",0,1
"87","Linaria propinqua",0,1
"88","Linaria supina",0,1
"89","Linum catharticum",1,1
"90","Lotus corniculatus",0,1
"91","Lysimachia nemorum",0,1
