"","Genus","Species","Count"
"7376","Crataegus","monogyna",2
"7539","Crataegus","monogyna/nigra",2
"8986","Bellis","perennis",2
"10353","Leontodon","saxatilis",2
"11526","Platanus","x",2
"150","Taraxacum","(sect.",1
"267","Oxalis","acetosella",1
"483","Triticum","aestivum/sp./turgidum",1
"586","Morus","alba/mongolica/rubra",1
"654","Achillea","alpina/millefolium",1
"825","Allium","ampeloprasum",1
"1056","Ilex","aquifolium",1
"1191","Erica","arborea",1
"1337","Cicer","arietinum",1
"1482","Anthoxanthum","aristatum",1
"1664","Cirsium","arvense",1
"1862","Helleborus","atrorubens/viridis",1
"2006","Erica","australis",1
"2174","Eucalyptus","botryoides",1
"2411","Ranunculus","bulbosus",1
"2574","Ranunculus","bulbosus/repens/sardous",1
"2704","Molinia","caerulea",1
"2931","Vaccinium","caespitosum/ovatum/parvifolium",1
"3049","Plantago","canescens/media",1
"3230","Rosa","canina/environmental",1
"3302","Crepis","capillaris/nicaeensis",1
"3448","Brassica","carinata",1
"3611","Brassica","carinata/oleracea",1
"3837","Linum","catharticum",1
"3922","Allium","cepa",1
"4236","Veronica","chamaedrys",1
"4288","Erica","cinerea",1
"4509","Parietaria","cretica/judaica/sp.",1
"4723","Urtica","dioica",1
"4852","Prunus","domestica",1
"5023","Rosa","eglanteria/environmental/glauca",1
"5087","Cirsium","environmental",1
"5331","Plantago","environmental/lanceolata/leiopetala",1
"5534","Trifolium","environmental/repens",1
"5663","Potentilla","erecta",1
"5732","Cardamine","flexuosa/occidentalis/oligosperma",1
"5913","Dactylis","glomerata",1
"6058","Cardamine","hirsuta",1
"6357","Viola","labradorica",1
"6392","Citrus","leiocarpa/tachibana/tangerina",1
"6647","Pulmonaria","longifolia",1
"6722","Conium","maculatum",1
"6892","Digitalis","mariana/purpurea/thapsi",1
"7075","Glycine","max",1
"7174","Achillea","millefolium",1
"7752","Lolium","multiflorum",1
"7960","Sambucus","nigra",1
"8142","Trifolium","occidentale/repens",1
"8218","Helianthemum","oelandicum",1
"8333","Asparagus","officinalis",1
"8474","Veronica","officinalis",1
"8510","Cirsium","palustre",1
"8731","Lotus","pedunculatus",1
"8893","Lolium","perenne/temulentum",1
"9211","Lathyrus","pratensis",1
"9421","Raphanus","raphanistrum/sativus",1
"9534","Juglans","regia",1
"9772","Trifolium","repens",1
"9789","Ajuga","reptans",1
"9998","Eucalyptus","saligna",1
"10149","Cucumis","sativus",1
"10517","Leptospermum","scoparium",1
"10704","Pedicularis","sylvatica",1
"10850","Lotus","tenuis",1
"10971","Erica","vagans",1
"11206","Primula","veris",1
"11296","Echium","vulgare",1
"11333","Leucanthemum","vulgare",1
"1","Abelmoschus","(sect.",0
"2","Achillea","(sect.",0
"3","Aciphylla","(sect.",0
"4","Aconitum","(sect.",0
"5","Actinidia","(sect.",0
"6","Adolphia","(sect.",0
"7","Aegilops","(sect.",0
"8","Agrostis","(sect.",0
"9","Ajuga","(sect.",0
"10","Allium","(sect.",0
"11","Alnus","(sect.",0
"12","Anagallis","(sect.",0
"13","Anaphalioides","(sect.",0
"14","Anemone","(sect.",0
"15","Anthoxanthum","(sect.",0
"16","Anthyllis","(sect.",0
"17","Arabis","(sect.",0
"18","Arenaria","(sect.",0
"19","Arrhenatherum","(sect.",0
"20","Asparagus","(sect.",0
"21","Bellis","(sect.",0
"22","Betula","(sect.",0
"23","Brachypodium","(sect.",0
"24","Brandisia","(sect.",0
"25","Brassica","(sect.",0
"26","Caltha","(sect.",0
"27","Cardamine","(sect.",0
"28","Carduus","(sect.",0
"29","Carex","(sect.",0
"30","Castanea","(sect.",0
"31","Chaerophyllum","(sect.",0
"32","Chrysosplenium","(sect.",0
"33","Cicer","(sect.",0
"34","Cirsium","(sect.",0
"35","Citrus","(sect.",0
"36","Clematis","(sect.",0
"37","Clinopodium","(sect.",0
"38","Colocasia","(sect.",0
"39","Conium","(sect.",0
"40","Coptidium","(sect.",0
"41","Crataegus","(sect.",0
"42","Crepis","(sect.",0
"43","Cucumis","(sect.",0
"44","Daboecia","(sect.",0
"45","Dactylis","(sect.",0
"46","Digitalis","(sect.",0
