"","genus","long.detected","in.gorbeia"
"1","Aconitum",0,1
"2","Aegilops",0,1
"3","Agrostis",0,1
"4","Arenaria",0,1
"5","Campanula",0,1
"6","Carex",0,1
"7","Clematis",0,1
"8","Crataegus",0,1
"9","Crepis",0,1
"10","Dactylis",0,1
"11","Erinus",0,1
"12","Festuca",0,1
"13","Galium",0,1
"14","Gentiana",0,1
"15","Glechoma",0,1
"16","Helianthemum",0,1
"17","Herniaria",0,1
"18","Holcus",0,1
"19","Iberis",0,1
"20","Melampyrum",0,1
"21","Poa",0,1
"22","Pyrus",0,1
"23","Raphanus",0,1
"24","Robinia",0,1
"25","Salix",0,1
"26","Sideritis",0,1
"27","Sisymbrium",0,1
"28","Solanum",0,1
