"","genus","long.detected"
"1","Aciphylla",0
"2","Aconitum",0
"3","Actinidia",0
"4","Aegilops",0
"5","Agrostis",0
"6","Anaphalioides",0
"7","Arenaria",0
"8","Arrhenatherum",0
"9","Asparagus",0
"10","Broussonetia",0
"11","Campanula",0
"12","Carex",0
"13","Cicer",0
"14","Citrus",0
"15","Clematis",0
"16","Colocasia",0
"17","Crataegus",0
"18","Crepis",0
"19","Dactylis",0
"20","Erinus",0
"21","Festuca",0
"22","Galium",0
"23","Gaylussacia",0
"24","Gentiana",0
"25","Glechoma",0
"26","Glycine",0
"27","Helianthemum",0
"28","Herniaria",0
"29","Hexachlamys",0
"30","Holcus",0
"31","Iberis",0
"32","Lithodora",0
"33","Macadamia",0
"34","Melampyrum",0
"35","Morus",0
"36","Muehlenbeckia",0
"37","Musa",0
"38","Olearia",0
"39","Ozothamnus",0
"40","Packera",0
"41","Petroselinum",0
"42","Pimelea",0
"43","Poa",0
"44","Pyrus",0
"45","Raphanus",0
"46","Robinia",0
"47","Salix",0
"48","Schinus",0
"49","Secale",0
"50","Sideritis",0
"51","Sisymbrium",0
"52","Solanum",0
"53","Tripleurospermum",0
